Timestamp,StationName,AirTemperature,WindSpeed,SunshineDuration,HasNullValue
2025-07-14T13:10:00+08:00,基隆,30.6,3.4,0.0,False
2025-07-14T13:10:00+08:00,新北,31.1,2.8,0.4,False
2025-07-14T13:10:00+08:00,鞍部,23.7,3.2,0.0,False
2025-07-14T13:10:00+08:00,新竹,29.6,1.6,0.3,False
2025-07-14T13:10:00+08:00,臺中,32.7,2.4,3.8,False
2025-07-14T13:10:00+08:00,澎湖,31.3,3.8,5.6,False
2025-07-14T13:10:00+08:00,日月潭,27.4,0.6,3.2,False
2025-07-14T13:10:00+08:00,阿里山,16.7,0.5,3.4,False
2025-07-14T13:10:00+08:00,玉山,14.1,1.6,6.1,False
2025-07-14T13:10:00+08:00,嘉義,32.4,4.6,5.3,False
2025-07-14T13:10:00+08:00,臺南,31.4,3.8,1.7,False
2025-07-14T13:10:00+08:00,高雄,30.7,2.8,2.7,False
2025-07-14T13:10:00+08:00,恆春,31.6,2.3,5.2,False
2025-07-14T13:10:00+08:00,宜蘭,31.6,3.7,0.6,False
2025-07-14T13:10:00+08:00,花蓮,30.6,4.9,4.7,False
2025-07-14T13:10:00+08:00,成功,31.1,1.2,5.7,False
2025-07-14T13:10:00+08:00,臺東,31.3,2.5,5.2,False
2025-07-14T13:10:00+08:00,大武,32.1,2.0,7.1,False
2025-07-14T13:10:00+08:00,蘭嶼,28.6,8.5,5.8,False
2025-07-14T13:10:00+08:00,東吉島,30.1,6.7,5.8,False
2025-07-14T13:10:00+08:00,永康,31.9,2.9,2.6,False
2025-07-14T13:10:00+08:00,臺北,32.0,1.5,0.1,False
2025-07-14T13:10:00+08:00,金門,32.5,1.4,2.1,False
2025-07-14T13:10:00+08:00,馬祖,28.2,3.7,2.4,False
2025-07-14T13:10:00+08:00,新屋,29.6,7.0,0.0,False
2025-07-14T13:10:00+08:00,田中,32.8,2.3,5.9,False
2025-07-14T13:10:00+08:00,後龍,30.6,4.5,0.4,False
2025-07-14T13:10:00+08:00,古坑,33.3,3.1,5.9,False
2025-07-14T13:20:00+08:00,基隆,30.6,1.8,0.0,False
2025-07-14T13:20:00+08:00,新北,31.2,3.9,0.4,False
2025-07-14T13:20:00+08:00,鞍部,23.5,3.0,0.0,False
2025-07-14T13:20:00+08:00,新竹,29.7,1.7,0.3,False
2025-07-14T13:20:00+08:00,臺中,32.3,3.1,3.8,False
2025-07-14T13:20:00+08:00,澎湖,31.4,4.0,5.8,False
2025-07-14T13:20:00+08:00,日月潭,27.2,0.6,3.3,False
2025-07-14T13:20:00+08:00,阿里山,16.5,0.9,3.4,False
2025-07-14T13:20:00+08:00,玉山,12.7,3.0,6.1,False
2025-07-14T13:20:00+08:00,嘉義,32.6,4.7,5.4,False
2025-07-14T13:20:00+08:00,臺南,31.1,4.0,1.9,False
2025-07-14T13:20:00+08:00,高雄,31.0,3.4,2.8,False
2025-07-14T13:20:00+08:00,恆春,31.5,2.5,5.3,False
2025-07-14T13:20:00+08:00,宜蘭,31.5,3.8,0.6,False
2025-07-14T13:20:00+08:00,花蓮,30.2,4.9,4.7,False
2025-07-14T13:20:00+08:00,成功,31.5,1.0,5.8,False
2025-07-14T13:20:00+08:00,臺東,31.1,2.7,5.3,False
2025-07-14T13:20:00+08:00,大武,32.6,2.0,7.3,False
2025-07-14T13:20:00+08:00,蘭嶼,28.1,8.7,5.9,False
2025-07-14T13:20:00+08:00,東吉島,30.1,6.6,6.0,False
2025-07-14T13:20:00+08:00,永康,32.3,3.2,2.8,False
2025-07-14T13:20:00+08:00,臺北,32.1,2.3,0.2,False
2025-07-14T13:20:00+08:00,金門,32.6,1.1,2.2,False
2025-07-14T13:20:00+08:00,馬祖,28.2,4.2,2.4,False
2025-07-14T13:20:00+08:00,新屋,29.6,7.5,0.0,False
2025-07-14T13:20:00+08:00,田中,32.5,3.0,6.0,False
2025-07-14T13:20:00+08:00,後龍,31.1,4.8,0.4,False
2025-07-14T13:20:00+08:00,古坑,32.6,3.3,6.0,False
2025-07-14T13:30:00+08:00,基隆,30.7,1.9,0.0,False
2025-07-14T13:30:00+08:00,新北,31.4,3.2,0.6,False
2025-07-14T13:30:00+08:00,鞍部,23.5,2.6,0.0,False
2025-07-14T13:30:00+08:00,新竹,29.9,2.3,0.3,False
2025-07-14T13:30:00+08:00,臺中,33.3,2.4,3.9,False
2025-07-14T13:30:00+08:00,澎湖,31.2,3.9,5.9,False
2025-07-14T13:30:00+08:00,日月潭,27.0,0.4,3.4,False
2025-07-14T13:30:00+08:00,阿里山,16.6,0.5,3.4,False
2025-07-14T13:30:00+08:00,玉山,14.8,2.0,6.1,False
2025-07-14T13:30:00+08:00,嘉義,33.0,4.4,5.6,False
2025-07-14T13:30:00+08:00,臺南,31.4,3.5,2.0,False
2025-07-14T13:30:00+08:00,高雄,31.3,2.8,3.0,False
2025-07-14T13:30:00+08:00,恆春,31.5,2.5,5.5,False
2025-07-14T13:30:00+08:00,宜蘭,31.0,4.6,0.6,False
2025-07-14T13:30:00+08:00,花蓮,30.4,5.2,4.7,False
2025-07-14T13:30:00+08:00,成功,31.2,1.0,5.8,False
2025-07-14T13:30:00+08:00,臺東,31.5,2.0,5.4,False
2025-07-14T13:30:00+08:00,大武,32.4,1.7,7.4,False
2025-07-14T13:30:00+08:00,蘭嶼,28.7,8.2,6.0,False
2025-07-14T13:30:00+08:00,東吉島,30.2,6.8,6.1,False
2025-07-14T13:30:00+08:00,永康,31.8,3.7,2.9,False
2025-07-14T13:30:00+08:00,臺北,32.2,2.5,0.2,False
2025-07-14T13:30:00+08:00,金門,31.5,1.2,2.2,False
2025-07-14T13:30:00+08:00,馬祖,28.3,4.6,2.4,False
2025-07-14T13:30:00+08:00,新屋,29.6,7.6,0.0,False
2025-07-14T13:30:00+08:00,田中,33.1,2.8,6.1,False
2025-07-14T13:30:00+08:00,後龍,31.1,4.9,0.4,False
2025-07-14T13:30:00+08:00,古坑,32.6,3.3,6.1,False
2025-07-14T13:40:00+08:00,基隆,30.8,1.6,0.0,False
2025-07-14T13:40:00+08:00,新北,31.0,2.6,0.6,False
2025-07-14T13:40:00+08:00,鞍部,23.5,3.0,0.0,False
2025-07-14T13:40:00+08:00,新竹,29.9,2.5,0.3,False
2025-07-14T13:40:00+08:00,臺中,32.4,2.6,3.9,False
2025-07-14T13:40:00+08:00,澎湖,31.2,4.1,6.1,False
2025-07-14T13:40:00+08:00,日月潭,27.2,0.6,3.5,False
2025-07-14T13:40:00+08:00,阿里山,16.6,1.2,3.4,False
